"","Acidentes c/vítimas","Acidentes c/v. mortais","Acidentes c/ v. mortaise/ou f. graves","Índice degravidade"
2010,2893,74,223,"3,0"
2011,2719,64,176,"2,5"
2012,2282,50,146,"2,3"
"",Vítimas mortais,Feridos graves,Feridos leves,Total vítimas
2010,88,189,3631,3908
2011,69,131,3293,3493
2012,53,110,2673,2836
"",Acidentes,,Vítimas,,Feridos,,Feridos,,Total,,Índice de
"",,% *,,% *,,% *,,% *,,% *,
"",c/ vítimas,,mortais,,graves,,leves,,vítimas,,gravidade
2012,2282,-,53,-,110,-,2673,-,2836,-,"2,3"
2013,2470,"8,2",52,"-1,9",132,"20,0",2957,"10,6",3141,"10,8","2,1"
"",,Acidentes,,Vítimas,,Feridos,,Feridos,,Total,,Índice de
"",,,%,,%,,%,,%,,%,
"",,c/ vítimas,,mortais,,graves,,leves,,vítimas,,gravidade
"",Jan,187,"7,6",8,"15,4",9,"6,8",221,"7,5",238,"7,6","4,3"
"",Fev,160,"6,5",3,"5,8",10,"7,6",187,"6,3",200,"6,4","1,9"
"",Mar,200,"8,1",7,"13,5",8,"6,1",242,"8,2",257,"8,2","3,5"
"",Abr,171,"6,9",4,"7,7",6,"4,5",202,"6,8",212,"6,7","2,3"
"",Mai,213,"8,6",2,"3,8",15,"11,4",269,"9,1",286,"9,1","0,9"
"",Jun,211,"8,5",4,"7,7",5,"3,8",249,"8,4",258,"8,2","1,9"
"",Jul,214,"8,7",6,"11,5",13,"9,8",272,"9,2",291,"9,3","2,8"
"",Ago,206,"8,3",5,"9,6",14,"10,6",243,"8,2",262,"8,3","2,4"
"",Set,248,"10,0",3,"5,8",15,"11,4",286,"9,7",304,"9,7","1,2"
"",Out,207,"8,4",1,"1,9",12,"9,1",246,"8,3",259,"8,2","0,5"
"",Nov,230,"9,3",5,"9,6",11,"8,3",273,"9,2",289,"9,2","2,2"
"",Dez,223,"9,0",4,"7,7",14,"10,6",267,"9,0",285,"9,1","1,8"
TOTAL,,2470,"100,0",52,"100,0",132,"100,0",2957,"100,0",3141,"100,0","2,1"
"",Acidentes,,Vítimas,,Feridos,,Feridos,,Total,,Índice de
"",,%,,%,,%,,%,,%,
"",c/ vítimas,,mortais,,graves,,leves,,vítimas,,gravidade
2a feira,349,"14,1",13,"25,0",28,"21,2",393,"13,3",434,"13,8","3,7"
3a feira,358,"14,5",3,"5,8",20,"15,2",410,"13,9",433,"13,8","0,8"
4a feira,344,"13,9",6,"11,5",17,"12,9",405,"13,7",428,"13,6","1,7"
5a feira,363,"14,7",3,"5,8",16,"12,1",431,"14,6",450,"14,3","0,8"
